Event ID	Event Sub-ID	Entry/Revision Date	Record Status: 0 = Active; 1 = Inactive	COUNTRY	STATE	CITY	EVENT CODE	POPULATION	DATE	EARLIEST REPORTED DATE	NEWS SOURCE	HEADLINE	EVENT DESCRIPTION	FIRST REPORTED LINK	OTHER LINKS (GSS Link)	OTHER LINKS	Crowd Size	Encoding Comment
3200	0	11/14/2012	0	Chile	Los Lagos	Osorno	313	General Population	10/8/2012	10/10/2012	Soyosorno.cl	Un paciente contagiado con Hanta Virus en Osorno se mantiene en estado grave [ A patient infected with Hanta Virus remains in serious condition in Osorno]	A patient infected with Hanta Virus remains in serious condition in Osorno	http://www.soychile.cl/Osorno/Sociedad/2012/10/10/125426/Un-paciente-contagiado-con-Hanta-Virus-en-Osorno-se-mantiene-en-estado-grave.aspx	http://www.soychile.cl/Osorno/Sociedad/2012/10/10/125426/Un-paciente-contagiado-con-Hanta-Virus-en-Osorno-se-mantiene-en-estado-grave.aspx	http://www.promedmail.org/direct.php?id=20121103.285685		"After this case, two other men working for the same company were diagnosed with Hantavirus see:http://www.promedmail.org/direct.php?id=20121103.285685"
3872	0	12/14/2012	0	Chile	Los Lagos	Malalhue	313	General Population	11/16/2012	11/16/2012	BioBioChile.com	Autoridades de Los R°os confirman caso de Hanta en ni§o de 7 a§os [Athorities in Los Rios confirm case of hanta in 7 year old child]	Seven year old child admitted to hospital on 11/14 with suspected hantavirus.  Case confirmed as hanta on 11/16/2012 	http://nacional.biobiochile.cl/notas/2012/11/16/autoridades-de-los-rios-confirman-caso-de-hanta-en-nino-de-7-anos.shtml				
4374	0	4/4/2013	0	Chile	Araucan°a	Temuco	313	General Population	1/19/2013	1/19/2013	N/A	Menor de 11 a§os muri¢ por contagio del virus Hanta	"La v°ctima lleg¢ procedente de la zona lacustre de la regi¢n, sin embargo, todo apunta a que se contagi¢ en la regi¢n de O'Higgins, donde pas¢ algunos d°as."	http://www.biobiochile.cl/2013/01/19/muere-menor-sospechoso-de-hanta-en-temuco.shtml		"http://www.cooperativa.cl/noticias/pais/salud/hanta/menor-de-11-anos-murio-por-contagio-del-virus-hanta/2013-01-22/161758.html, "		"I used info from a later article because it had more definitive information, but the first article was from the 19th. "
4375	0	6/6/2013	0	Chile	Santiago	Santiago	313	General Population	1/12/2013	1/12/2013	N/A	Confirman primer caso de Hanta en Regi¢n Metropolitana	"El primer caso de contagio de Hanta Virus en la Regi¢n Metropolitana fue confirmado este s†bado por la seremi de Salud de la Regi¢n Metropolitana, Rosa Oyarce."	http://www.lanacion.cl/confirman-primer-caso-de-hanta-en-region-metropolitana/noticias/2013-01-12/150252.html				"On 6/6/2013, correction location to Santiago as stated in article.  Location not in the gazetteer"
4377	0	9/29/2013	0	Chile	Los Lagos	Puerto Montt	313	General Population	1/28/2013	1/30/2013	N/A	Gendarme bajo observaci¢n por presunto contagio de virus hanta	"Un posible nuevo caso de virus hanta se registrar°a en un hombre de 30 a§os, quien qued¢ hospitalizado y aislado en la unidad de cuidados intensivos del Hospital Base de Puerto Montt"	http://www.biobiochile.cl/2013/01/30/gendarme-contagiado-de-virus-hanta-en-puerto-montt-se-encuentra-estable.shtml				
4378	0	3/23/2013	0	Chile	Araucan°a	PurÇn	313	General Population	1/3/2013	1/15/2013	N/A	Confirman primer contagio de virus hanta en La Araucan°a	La Secretar°a Regional Ministerial de Salud en La Araucan°a confirm¢ el primer caso de contagio por hanta virus de este a§o en la regi¢n.	http://translate.google.com/translate?u=http%3A%2F%2Fnews.google.com%2Fnews%2Furl%3Fsa%3Dt%26fd%3DR%26usg%3DAFQjCNF2OIic8td2JbMEkAyTOBTkSr5M1w%26url%3Dhttp%3A%2F%2Fbusca.biobiochile.cl%2F2013%2F01%2F15%2Fconfirman-primer-contagio-de-virus-hanta-en-la-araucania.shtml&tl=en&sl=es				
4379	0	3/6/2013	0	Chile	B°o B°o	MulchÇn	313	General Population	1/16/2013	1/16/2013	N/A	Trabajador forestal es el primer caso de virus hanta en la regi¢n del B°o B°o	Un trabajador forestal de la comuna de Quilaco se convirti¢ en el primer caso de virus Hanta en la regi¢n del B°o B°o. El operario se encuentra internado en el Hospital de MulchÇn fuera de riesgo vital y en •uble se estudia otro caso sospechoso. 	http://www.biobiochile.cl/2013/01/16/trabajador-forestal-es-el-primer-caso-de-virus-hanta-en-la-region-del-bio-bio.shtml				
4842	0	3/6/2013	0	Chile	B°o B°o	Ca§ete	313	General Population	1/23/2013	1/25/2013	N/A	Un agricultor de Ca§ete se convirti¢ en el segundo fallecido por hanta virus en el B°o B°o	"Se trata de un agricultor que falleci¢ el 23 de enero pasado, de 54 a§os y domiciliado en la comuna de Ca§ete, quien falleci¢ por s°ndrome Cardiovascular en el Hospital Guillermo Grant Benavente de Concepci¢n."	http://www.soychile.cl/Arauco/Sociedad/2013/01/25/150405/Un-agricultor-de-Canete-se-convirtio-en-el-segundo-fallecido-por-hanta-virus-en-el-Bio-Bio.aspx				
4844	0	3/12/2013	0	Chile	B°o B°o	Laja	313	General Population	2/7/2013	2/7/2013		ISP confirma que joven de 18 a§os falleci¢ por hanta en el B°o B°o	ISP confirms that 18 year old died in the B°o B°o hanta	http://www.biobiochile.cl/2013/02/14/isp-confirma-que-joven-de-18-anos-fallecio-por-hanta-en-el-bio-bio.shtml		http://www.seremidesaludbiobio.cl/code/index.php/webseremi8/web/noticia/285; http://www.biobiochile.cl/2013/02/08/joven-de-18-anos-murio-presuntamente-por-virus-hanta-en-los-angeles.shtml; http://translate.google.com/translate?u=http%3A%2F%2Fnews.google.com%2Fnews%2Furl%3Fsa%3Dt%26fd%3DR%26usg%3DAFQjCNFMNswZLgt8TpiJZ6QPS79bz3-k9g%26url%3Dhttp%3A%2F%2Fbusca.biobiochile.cl%2F2013%2F02%2F14%2Fisp-confirma-que-joven-de-18-anos-fallecio-por-hanta-en-el-bio-bio.shtml&tl=en&sl=es 		"One source said she was from Monte†guila but World Gazetteer says Laja (Monte†guila is not in the Gazetteer). Another source said Cabrero, which is in the Gazetteer (the second link in ""other links"" says she was from Cabrero)"
4845	0	10/11/2013	0	Chile	Los Lagos	Valdivia	313	General Population	2/22/2013	2/27/2013		Se confirma el primer Caso de Hanta en la regi¢n de Los R°os	The first case of hantavirus is confirmed in the Los Rios Region.	http://www.elnaveghable.cl/node/22554		 		"Man was admitted to the hospital on February 22nd, but the article is from Feb 27th. There may be earlier reportings. "
5447	0	9/25/2013	0	Chile	Libertador General Bernardo O'Higgins	Rancagua	313	General Population	3/18/2013	3/30/2013	El RancagÅino	"""Menor de 11 a§os est† contagiado con Virus Hanta"""	"Un nuevo caso de Virus Hanta se present¢ en la regi¢n, esta vez afect¢ a un ni§o de 11 a§os de la localidad de Pul°n, comuna de Litueche. El caso qued¢ al descubierto el lunes 18 de marzo cuando el peque§o sinti¢ malestares por lo que acudi¢ a la posta de salud rural de Pul°n; sin embargo, las molestias no cesaron por lo que el 24 de marzo el menor fue atendido en el Hospital de Santa Cruz, desde donde fue derivado al Hospital Regional Rancagua con el diagn¢stico de Hanta Virus. "	http://www.elrancaguino.cl/rancaguino/noticias.php?cod=3671				"""Menor de 11 a§os est† contagiado con Virus Hanta"", El RancagÅino, 30 March, 2013"
